from,to,weight,relationship,time
Cameron,Janina,4,6,1
Cameron,Clara,2,3,3
Cameron,Christine,3,1,3
Cameron,Celine,2,3,2
Janina,Cameron,4,6,1
Clara,Cameron,2,3,3
Christine,Cameron,3,1,3
Celine,Cameron,2,3,2
